work_year,experience_level,employee_residence,remote_ratio,company_location,company_size,salario_eur,job_title_mean,company_location_mean,employee_location_mean,job_title_map,employment_type_encoded
137121.89788235293,3,4,100,3,2,138000.0,140179.14058252427,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,100,3,2,110400.0,140179.14058252427,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,0,3,2,133400.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,110400.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,3,204424.0,175043.32413793105,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,3,125120.0,175043.32413793105,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,52,100,43,2,50310.200000000004,100018.92895424837,44720.28,44720.28,3,2
137121.89788235293,3,52,100,43,2,39130.36,100018.92895424837,44720.28,44720.28,3,2
137121.89788235293,3,4,0,3,2,221720.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,142600.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,100,3,2,202400.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,100,3,2,174800.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,2,24,0,19,2,61490.04,129600.18423809524,79938.8481395349,80029.25748502994,1,2
137121.89788235293,2,24,0,19,2,50310.200000000004,129600.18423809524,79938.8481395349,80029.25748502994,1,2
84918.42105263157,4,35,0,5,2,13800.0,13800.0,121364.27448275863,59800.0,3,2
137121.89788235293,2,24,100,19,2,78260.72,65682.94,79938.8481395349,80029.25748502994,0,2
137121.89788235293,2,24,100,19,2,53105.16,65682.94,79938.8481395349,80029.25748502994,0,2
137121.89788235293,1,4,100,3,2,78200.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,1,4,100,3,2,69000.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,147200.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,128800.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,2,4,0,3,2,276000.0,142315.46851211073,139676.24877631577,140596.25071904127,4,2
137121.89788235293,2,4,0,3,2,230000.0,142315.46851211073,139676.24877631577,140596.25071904127,4,2
137121.89788235293,3,4,0,3,2,209760.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,2,171120.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,2,174800.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,2,156400.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
